Ticket,Symbol,Type,ActionTime,ActionPrice,MaxDD,CloseTime,ClosePrice,Reward,SL,PT,DateDuration,Status
2,EURUSD,0,10/09/2019 0:05,                 1.09992,-35,10/09/2019 11:10,1.10192,                  190, 200, 200,10,1
4,EURUSD,0,10/09/2019 0:10,                 1.09986,-29,10/09/2019 11:10,1.10186,                  190, 200, 200,10,1
6,EURUSD,0,10/09/2019 0:15,                 1.09991,-34,10/09/2019 11:10,1.10191,                  190, 200, 200,10,1
8,EURUSD,0,10/09/2019 0:20,                 1.09994,-37,10/09/2019 11:10,1.10194,                  190, 200, 200,10,1
10,EURUSD,0,10/09/2019 0:25,                 1.09996,-39,10/09/2019 11:10,1.10196,                  190, 200, 200,10,1
13,EURUSD,0,10/09/2019 11:15,                 1.10158,-93,10/09/2019 16:15,1.10358,                  190, 200, 200,10,1
15,EURUSD,1,10/09/2019 11:20,                 1.10190,-200,10/09/2019 16:45,1.10390,                 -210, 200, 265,10,1
17,EURUSD,0,10/09/2019 16:45,                 1.10299,-7,10/09/2019 17:55,1.10499,                  190, 200, 200,10,1
11,EURUSD,0,10/09/2019 11:10,                 1.10191,-126,10/09/2019 18:45,1.10656,                  455, 200, 465,10,1
18,EURUSD,0,10/09/2019 17:55,                 1.10475,0,10/09/2019 19:45,1.10675,                  190, 200, 200,10,1
16,EURUSD,0,10/09/2019 16:15,                 1.10296,-312,10/09/2019 1:00,1.10096,                 -210, 200, 495,10,1
20,EURUSD,0,10/09/2019 19:45,                 1.10650,-666,10/09/2019 1:00,1.10450,                 -210, 200, 200,10,1
19,EURUSD,0,10/09/2019 18:45,                 1.10644,-629,10/09/2019 1:05,1.10444,                 -210, 200, 585,10,1
21,EURUSD,0,10/09/2019 1:00,                 1.10013,0,10/09/2019 20:00,1.10213,                  190, 200, 200,10,1
23,EURUSD,0,10/09/2019 1:05,                 1.10028,-14,10/09/2019 20:00,1.10228,                  190, 200, 200,10,1
24,EURUSD,0,10/09/2019 20:00,                 1.10699,-665,10/09/2019 2:00,1.10499,                 -210, 200, 200,10,1
26,EURUSD,0,10/09/2019 2:00,                 1.10034,-133,11/09/2019 0:00,1.10234,                  180, 200, 200,11,1
27,EURUSD,0,11/09/2019 0:00,                 1.10713,-200,11/09/2019 10:00,1.10513,                 -210, 200, 200,11,1
22,GBPUSD,0,10/09/2019 1:05,                 1.10503,-204,11/09/2019 11:10,1.10303,                 -220, 200, 200,11,1
1,GBPUSD,0,10/09/2019 0:05,                 1.10469,-208,11/09/2019 11:15,1.10269,                 -220, 200, 399,11,1
5,GBPUSD,0,10/09/2019 0:15,                 1.10466,-205,11/09/2019 11:15,1.10266,                 -220, 200, 200,11,1
3,GBPUSD,0,10/09/2019 0:10,                 1.10474,-226,11/09/2019 11:20,1.10274,                 -220, 200, 338,11,1
9,GBPUSD,0,10/09/2019 0:25,                 1.10459,-211,11/09/2019 11:20,1.10259,                 -220, 200, 200,11,1
7,GBPUSD,1,10/09/2019 0:20,                 1.10456,-137,11/09/2019 11:25,1.10252,                  184, 200, 204,11,1
14,GBPUSD,0,10/09/2019 11:20,                 1.10436,-205,11/09/2019 11:30,1.10236,                 -220, 200, 200,11,1
28,EURUSD,0,11/09/2019 10:00,                 1.10570,-203,11/09/2019 12:15,1.10370,                 -210, 200, 200,11,1
12,GBPUSD,0,10/09/2019 11:15,                 1.10412,-214,11/09/2019 12:55,1.10212,                 -220, 200, 544,11,1
25,GBPUSD,1,10/09/2019 20:05,                 1.10388,-140,11/09/2019 13:50,1.10122,                  246, 200, 266,11,1
29,GBPUSD,0,11/09/2019 11:10,                 1.10304,-235,11/09/2019 13:55,1.10104,                 -210, 200, 444,11,1
32,GBPUSD,0,11/09/2019 11:20,                 1.10275,-205,11/09/2019 13:55,1.10075,                 -210, 200, 459,11,1
34,GBPUSD,0,11/09/2019 11:25,                 1.10260,-208,11/09/2019 14:00,1.10060,                 -210, 200, 200,11,1
30,GBPUSD,1,11/09/2019 11:15,                 1.10260,-41,11/09/2019 14:50,1.09990,                  260, 200, 270,11,1
37,GBPUSD,0,11/09/2019 12:55,                 1.10198,-231,11/09/2019 14:50,1.09998,                 -210, 200, 233,11,1
36,EURUSD,0,11/09/2019 12:15,                 1.10386,-12,11/09/2019 16:05,1.10586,                  190, 200, 200,11,1
38,GBPUSD,0,11/09/2019 13:50,                 1.10097,-215,11/09/2019 17:00,1.09897,                 -210, 200, 200,11,1
39,GBPUSD,0,11/09/2019 13:55,                 1.10075,-209,11/09/2019 17:05,1.09875,                 -210, 200, 520,11,1
40,EURUSD,0,11/09/2019 13:55,                 1.10436,-35,11/09/2019 17:50,1.10636,                  190, 200, 200,11,1
35,GBPUSD,1,11/09/2019 11:30,                 1.10237,-261,11/09/2019 1:00,1.10437,                 -210, 200, 394,11,1
42,GBPUSD,0,11/09/2019 14:50,                 1.09979,-129,11/09/2019 1:00,1.10179,                  190, 200, 200,11,1
45,GBPUSD,0,11/09/2019 17:00,                 1.09925,-75,11/09/2019 1:00,1.10494,                  559, 200, 569,11,1
33,EURUSD,0,11/09/2019 11:20,                 1.10515,-148,11/09/2019 1:00,1.10715,                  190, 200, 200,11,1
43,EURUSD,0,11/09/2019 14:50,                 1.10493,-4,11/09/2019 1:00,1.10693,                  190, 200, 200,11,1
41,GBPUSD,1,11/09/2019 14:00,                 1.10087,-421,11/09/2019 1:05,1.10287,                 -210, 200, 251,11,1
46,GBPUSD,0,11/09/2019 17:05,                 1.09889,-38,11/09/2019 1:05,1.10300,                  401, 200, 411,11,1
31,EURUSD,0,11/09/2019 11:15,                 1.10532,-165,11/09/2019 1:20,1.10732,                  190, 200, 200,11,1
48,GBPUSD,0,11/09/2019 1:00,                 1.10489,-444,11/09/2019 20:00,1.10289,                 -210, 200, 200,11,1
51,GBPUSD,0,11/09/2019 1:10,                 1.10470,-425,11/09/2019 20:00,1.10270,                 -210, 200, 200,11,1
53,GBPUSD,0,11/09/2019 1:15,                 1.10463,-418,11/09/2019 20:00,1.10263,                 -210, 200, 576,11,1
49,GBPUSD,1,11/09/2019 1:05,                 1.10487,-11,11/09/2019 20:05,1.10150,                  327, 200, 337,11,1
47,EURUSD,0,11/09/2019 17:50,                 1.10651,-257,11/09/2019 21:00,1.10451,                 -210, 200, 200,11,1
52,EURUSD,0,11/09/2019 1:10,                 1.10721,-327,11/09/2019 21:00,1.10521,                 -210, 200, 200,11,1
55,EURUSD,0,11/09/2019 1:20,                 1.10727,-333,11/09/2019 21:00,1.10527,                 -210, 200, 305,11,1
57,EURUSD,0,11/09/2019 20:00,                 1.10624,-229,11/09/2019 21:00,1.10424,                 -210, 200, 200,11,1
59,EURUSD,0,11/09/2019 20:05,                 1.10622,-228,11/09/2019 21:00,1.10422,                 -210, 200, 200,11,1
50,EURUSD,0,11/09/2019 1:05,                 1.10725,-266,11/09/2019 21:05,1.10525,                 -210, 200, 200,11,1
44,EURUSD,0,11/09/2019 16:05,                 1.10587,-290,11/09/2019 21:10,1.10387,                 -210, 200, 200,11,1
60,EURUSD,0,11/09/2019 21:00,                 1.10504,-208,11/09/2019 21:10,1.10304,                 -210, 200, 514,11,1
54,EURUSD,0,11/09/2019 1:15,                 1.10724,-478,11/09/2019 21:15,1.10524,                 -210, 200, 399,11,1
62,EURUSD,0,11/09/2019 21:05,                 1.10469,-222,11/09/2019 21:15,1.10269,                 -210, 200, 200,11,1
68,EURUSD,0,11/09/2019 21:20,                 1.10376,-240,11/09/2019 21:45,1.10176,                 -210, 200, 200,11,1
56,GBPUSD,0,11/09/2019 20:00,                 1.10080,-28,11/09/2019 2:00,1.10280,                  190, 200, 200,11,1
61,GBPUSD,0,11/09/2019 21:05,                 1.10063,-11,11/09/2019 2:00,1.10263,                  190, 200, 200,11,1
65,GBPUSD,0,11/09/2019 21:15,                 1.10084,-32,11/09/2019 2:00,1.10284,                  190, 200, 200,11,1
67,GBPUSD,1,11/09/2019 21:20,                 1.10092,-398,11/09/2019 2:00,1.10292,                 -210, 200, 358,11,1
64,EURUSD,0,11/09/2019 21:10,                 1.10316,-180,11/09/2019 2:00,1.10516,                  190, 200, 200,11,1
70,EURUSD,0,11/09/2019 21:45,                 1.10211,-46,11/09/2019 2:00,1.10484,                  263, 200, 273,11,1
58,GBPUSD,0,11/09/2019 20:05,                 1.10091,-39,11/09/2019 2:05,1.10291,                  190, 200, 200,11,1
69,GBPUSD,1,11/09/2019 21:25,                 1.10112,-361,11/09/2019 2:05,1.10312,                 -210, 200, 401,11,1
66,EURUSD,1,11/09/2019 21:15,                 1.10313,-392,11/09/2019 2:05,1.10513,                 -210, 200, 220,11,1
71,GBPUSD,1,11/09/2019 2:00,                 1.10467,-86,12/09/2019 0:00,1.10226,                  221, 200, 241,12,1
75,GBPUSD,0,11/09/2019 2:10,                 1.10470,-384,12/09/2019 0:00,1.10270,                 -220, 200, 200,12,1
77,GBPUSD,0,11/09/2019 2:15,                 1.10478,-392,12/09/2019 0:00,1.10278,                 -220, 200, 200,12,1
79,GBPUSD,0,11/09/2019 2:20,                 1.10481,-395,12/09/2019 0:00,1.10281,                 -220, 200, 202,12,1
72,EURUSD,0,11/09/2019 2:00,                 1.10700,-424,12/09/2019 0:00,1.10500,                 -220, 200, 200,12,1
74,EURUSD,0,11/09/2019 2:05,                 1.10703,-426,12/09/2019 0:00,1.10503,                 -220, 200, 251,12,1
78,EURUSD,0,11/09/2019 2:15,                 1.10707,-431,12/09/2019 0:00,1.10507,                 -220, 200, 251,12,1
76,EURUSD,0,11/09/2019 2:10,                 1.10712,-434,12/09/2019 0:05,1.10512,                 -220, 200, 200,12,1
81,EURUSD,0,12/09/2019 0:00,                 1.10281,-2,12/09/2019 10:55,1.10481,                  190, 200, 200,12,1
85,EURUSD,0,12/09/2019 0:10,                 1.10321,-39,12/09/2019 10:55,1.10521,                  190, 200, 200,12,1
80,GBPUSD,1,12/09/2019 0:00,                 1.10093,-222,12/09/2019 11:20,1.10293,                 -210, 200, 426,12,1
84,GBPUSD,1,12/09/2019 0:10,                 1.10090,-225,12/09/2019 11:20,1.10290,                 -210, 200, 435,12,1
83,EURUSD,0,12/09/2019 0:05,                 1.10308,-29,12/09/2019 12:20,1.10649,                  331, 200, 341,12,1
63,GBPUSD,0,11/09/2019 21:10,                 1.10077,-229,12/09/2019 14:45,1.09877,                 -220, 200, 526,12,1
82,GBPUSD,0,12/09/2019 0:05,                 1.10096,-248,12/09/2019 14:45,1.09896,                 -210, 200, 340,12,1
89,GBPUSD,0,12/09/2019 11:00,                 1.10206,-358,12/09/2019 14:45,1.10006,                 -210, 200, 556,12,1
91,GBPUSD,0,12/09/2019 11:25,                 1.10280,-432,12/09/2019 14:45,1.10080,                 -210, 200, 480,12,1
73,GBPUSD,1,11/09/2019 2:05,                 1.10472,-82,12/09/2019 14:50,1.09925,                  527, 200, 547,12,1
86,GBPUSD,0,12/09/2019 0:15,                 1.10087,-445,12/09/2019 14:55,1.09887,                 -210, 200, 472,12,1
93,GBPUSD,1,12/09/2019 14:45,                 1.09851,-30,12/09/2019 15:30,1.09538,                  303, 200, 313,12,1
95,GBPUSD,0,12/09/2019 14:50,                 1.09733,-285,12/09/2019 15:30,1.09533,                 -210, 200, 489,12,1
97,GBPUSD,1,12/09/2019 14:55,                 1.09656,-75,12/09/2019 15:35,1.09403,                  243, 200, 253,12,1
101,GBPUSD,0,12/09/2019 15:35,                 1.09422,-154,12/09/2019 16:10,1.09637,                  205, 200, 215,12,1
99,GBPUSD,1,12/09/2019 15:30,                 1.09479,-317,12/09/2019 16:15,1.09679,                 -210, 200, 236,12,1
103,GBPUSD,0,12/09/2019 16:15,                 1.09653,-8,12/09/2019 16:40,1.09992,                  329, 200, 339,12,1
102,GBPUSD,0,12/09/2019 16:10,                 1.09651,-28,12/09/2019 16:45,1.10237,                  576, 200, 586,12,1
104,GBPUSD,0,12/09/2019 16:40,                 1.10094,0,12/09/2019 17:05,1.10487,                  383, 200, 393,12,1
105,GBPUSD,0,12/09/2019 16:45,                 1.10342,-145,12/09/2019 17:40,1.10659,                  307, 200, 317,12,1
96,EURUSD,0,12/09/2019 14:50,                 1.10707,-204,12/09/2019 17:40,1.10507,                 -210, 200, 200,12,1
107,GBPUSD,0,12/09/2019 17:40,                 1.10596,-312,12/09/2019 17:55,1.10396,                 -210, 200, 533,12,1
94,EURUSD,0,12/09/2019 14:45,                 1.10690,-218,12/09/2019 18:30,1.10490,                 -210, 200, 200,12,1
109,GBPUSD,0,12/09/2019 17:55,                 1.10295,-36,12/09/2019 18:35,1.10495,                  190, 200, 200,12,1
98,EURUSD,0,12/09/2019 14:55,                 1.10676,-222,12/09/2019 18:35,1.10476,                 -210, 200, 200,12,1
92,EURUSD,0,12/09/2019 12:20,                 1.10633,-205,12/09/2019 18:40,1.10433,                 -210, 200, 200,12,1
100,EURUSD,0,12/09/2019 15:30,                 1.10633,-201,12/09/2019 18:45,1.10433,                 -210, 200, 200,12,1
106,GBPUSD,0,12/09/2019 17:05,                 1.10456,-197,12/09/2019 18:50,1.10750,                  284, 200, 294,12,1
111,GBPUSD,0,12/09/2019 18:35,                 1.10512,-425,12/09/2019 1:00,1.10312,                 -210, 200, 578,12,1
115,GBPUSD,1,12/09/2019 18:50,                 1.10773,-7,12/09/2019 1:00,1.10236,                  527, 200, 537,12,1
90,EURUSD,0,12/09/2019 11:20,                 1.10572,-252,12/09/2019 1:00,1.10372,                 -210, 200, 200,12,1
88,EURUSD,0,12/09/2019 10:55,                 1.10511,-200,12/09/2019 1:15,1.10311,                 -210, 200, 552,12,1
108,EURUSD,0,12/09/2019 17:40,                 1.10509,-207,12/09/2019 1:25,1.10309,                 -210, 200, 200,12,1
116,GBPUSD,0,12/09/2019 1:00,                 1.10097,-22,12/09/2019 20:00,1.10297,                  190, 200, 200,12,1
118,GBPUSD,0,12/09/2019 1:05,                 1.10096,-21,12/09/2019 20:00,1.10296,                  190, 200, 200,12,1
120,EURUSD,0,12/09/2019 1:25,                 1.10303,-1,12/09/2019 20:10,1.10582,                  269, 200, 279,12,1
121,GBPUSD,0,12/09/2019 20:00,                 1.10713,-626,12/09/2019 2:00,1.10513,                 -210, 200, 200,12,1
122,EURUSD,0,12/09/2019 20:00,                 1.10556,-262,12/09/2019 2:00,1.10356,                 -210, 200, 200,12,1
114,EURUSD,0,12/09/2019 18:45,                 1.10486,-209,12/09/2019 2:05,1.10286,                 -210, 200, 200,12,1
123,EURUSD,0,12/09/2019 20:10,                 1.10586,-310,12/09/2019 2:05,1.10386,                 -210, 200, 200,12,1
110,EURUSD,0,12/09/2019 18:30,                 1.10474,-209,12/09/2019 2:10,1.10274,                 -210, 200, 200,12,1
112,EURUSD,0,12/09/2019 18:35,                 1.10458,-200,12/09/2019 3:30,1.10258,                 -210, 200, 200,12,1
113,EURUSD,0,12/09/2019 18:40,                 1.10432,-201,12/09/2019 3:50,1.10232,                 -210, 200, 200,12,1
130,EURUSD,0,12/09/2019 3:50,                 1.10235,-7,12/09/2019 9:05,1.10435,                  190, 200, 200,12,1
129,EURUSD,0,12/09/2019 3:30,                 1.10264,-36,12/09/2019 9:25,1.10464,                  190, 200, 200,12,1
126,EURUSD,0,12/09/2019 2:05,                 1.10281,-53,12/09/2019 9:40,1.10481,                  190, 200, 200,12,1
128,EURUSD,0,12/09/2019 2:10,                 1.10280,-52,12/09/2019 9:40,1.10480,                  190, 200, 200,12,1
124,GBPUSD,1,12/09/2019 2:00,                 1.10087,-570,13/09/2019 0:00,1.10287,                 -220, 200, 315,13,1
127,GBPUSD,1,12/09/2019 2:10,                 1.10108,-548,13/09/2019 0:00,1.10308,                 -220, 200, 406,13,1
134,GBPUSD,0,12/09/2019 9:45,                 1.10089,0,13/09/2019 0:00,1.10330,                  221, 200, 241,13,1
135,GBPUSD,0,13/09/2019 0:00,                 1.10649,-25,13/09/2019 10:00,1.10849,                  190, 200, 200,13,1
125,EURUSD,0,12/09/2019 2:00,                 1.10294,-66,13/09/2019 10:00,1.10494,                  180, 200, 200,13,1
136,EURUSD,0,13/09/2019 0:00,                 1.10404,-8,13/09/2019 10:00,1.10604,                  190, 200, 200,13,1
132,EURUSD,0,12/09/2019 9:25,                 1.10431,-35,13/09/2019 10:05,1.10631,                  180, 200, 200,13,1
140,GBPUSD,0,13/09/2019 10:05,                 1.11041,-219,13/09/2019 11:20,1.10841,                 -210, 200, 341,13,1
138,GBPUSD,0,13/09/2019 10:00,                 1.10994,-222,13/09/2019 11:25,1.10794,                 -210, 200, 431,13,1
141,EURUSD,0,13/09/2019 10:05,                 1.10640,-226,13/09/2019 13:35,1.10440,                 -210, 200, 200,13,1
